,token,name,symbol
9017,99919000,SENSEX,SENSEX
9018,99919001,S&P BSE PSU,BSEPSU
9019,99919002,S&P BSE 100,BSE100
9020,99919003,S&P BSE 200,BSE200
9021,99919004,S&P BSE 500,BSE500
9022,99919005,S&P BSE INFORMATION TECHNOLOGY,BSE IT
9023,99919006,S&P BSE FAST MOVING CONSUMER GOODS,BSEFMC
9024,99919007,S&P BSE CAPITAL GOODS,BSE CG
9025,99919008,S&P BSE CONSUMER DURABLES,BSE CD
9026,99919009,S&P BSE HEALTHCARE,BSE HC
9027,99919011,S&P BSE TECK,TECK
9028,99919012,BANKEX,BANKEX
9029,99919013,S&P BSE AUTO,AUTO
9030,99919014,S&P BSE METAL,METAL
9031,99919015,S&P BSE CPSE,CPSE
9032,99919016,S&P BSE MIDCAP,MIDCAP
9033,99919017,S&P BSE SMALLCAP,SMLCAP
9034,99919018,S&P BSE DOLLEX 30,DOL30
9035,99919019,S&P BSE DOLLEX 100,DOL100
9036,99919020,S&P BSE DOLLEX 200,DOL200
9037,99919042,S&P BSE LARGECAP,LRGCAP
9038,99919043,S&P BSE MIDCAP SELECT INDEX,MIDSEL
9039,99919044,S&P BSE SMALLCAP SELECT INDEX,SMLSEL
9040,99919051,S&P BSE OIL & GAS,OILGAS
9041,99919052,S&P BSE POWER,POWER
9042,99919053,S&P BSE REALTY,REALTY
9043,99919054,S&P BSE IPO,BSEIPO
9044,99919058,S&P BSE CARBONEX,CARBON
9045,99919059,S&P BSE SME IPO,SMEIPO
9046,99919060,S&P BSE INDIA INFRASTRUCTURE INDEX,INFRA
9047,99919081,S&P BSE GREENEX,GREENX
9048,99919082,S&P BSE SENSEX 50,SNSX50
9049,99919083,S&P BSE SENSEX NEXT 50,SNXT50
9050,99919084,S&P BSE ENERGY,ENERGY
9051,99919085,S&P BSE FINANCIAL SERVICES,FINSER
9052,99919086,S&P BSE INDUSTRIALS,INDSTR
9053,99919087,S&P BSE TELECOM,TELCOM
9054,99919088,S&P BSE 150 MIDCAP INDEX,MID150
9055,99919089,S&P BSE 250 LARGEMIDCAP INDEX,LMI250
9056,99919090,S&P BSE 400 MIDSMALLCAP INDEX,MSL400
9057,1,BSX,BSX
9058,500012,ANDHRAPET,ANDHRAPET
9059,500027,ATUL,ATUL
9060,500033,FORCEMOT,FORCEMOT
9061,500039,BANCOINDIA,BANCOINDIA
9062,500043,BATAINDIA,BATAINDIA
9063,500068,DISAQ,DISAQ
9064,500074,BPL,BPL
9065,500087,CIPLA,CIPLA
9066,500108,MTNL,MTNL
9067,500119,DHAMPURSUG,DHAMPURSUG
9068,500147,COCKERILL,COCKERILL
9069,500180,HDFCBANK,HDFCBANK
9070,500213,ITHL,ITHL
9071,500228,JSWSTEEL,JSWSTEEL
9072,500253,LICHSGFIN,LICHSGFIN
9073,500285,SPICEJET,SPICEJET
9074,500294,NCC,NCC
9075,500313,OILCOUNTUB,OILCOUNTUB
9076,500330,RAYMOND,RAYMOND
9077,500331,PIDILITIND,PIDILITIND
9078,500338,PRSMJOHNSN,PRSMJOHNSN
9079,500367,RUBFILA,RUBFILA
9080,500380,JKLAKSHMI,JKLAKSHMI
9081,500404,SUNFLAG,SUNFLAG
9082,500421,TPINDIA,TPINDIA
9083,500429,UNIENTER,UNIENTER
9084,500820,ASIANPAINT,ASIANPAINT
9085,501148,DSINVEST,DSINVEST
9086,501270,ANTARIKSH,ANTARIKSH
9087,501343,MOTOGENFIN,MOTOGENFIN
9088,501351,RAPIDIN,RAPIDIN
9089,502420,ORIENTPPR,ORIENTPPR
9090,502448,ROLLT,ROLLT
9091,503722,BANSWRAS,BANSWRAS
9092,504058,NIPPOBATRY,NIPPOBATRY
9093,504092,INDOKEM,INDOKEM
9094,504731,AZADIND,AZADIND
9095,504786,INVPRECQ,INVPRECQ
9096,505036,ACGL,ACGL
9097,505412,WENDT,WENDT
9098,505594,MULTIIN,MULTIIN
9099,505700,ELECON,ELECON
9100,505807,ROLCOEN,ROLCOEN
9101,505893,HINDHARD,HINDHARD
9102,506166,APIS,APIS
9103,506194,ARIHANTSUP,ARIHANTSUP
9104,506919,MAKERSL,MAKERSL
9105,507265,EMERALL,EMERALL
9106,507514,SDBL,SDBL
9107,507663,SIGNGCL,SIGNGCL
9108,506935,CONTCHM,CONTCHM
9109,507690,ORIBEVER,ORIBEVER
9110,507747,TTKHLTCARE,TTKHLTCARE
9111,507808,UNTTEMI,UNTTEMI
9112,507833,COMPUPN,COMPUPN
9113,500003,AEGISLOG,AEGISLOG
9114,500023,ASIANHOTNR,ASIANHOTNR
9115,500048,BEML,BEML
9116,500052,BEPL,BEPL
9117,508875,NITINCAST,NITINCAST
9118,507962,FYNX,FYNX
9119,507970,PARMCOS-B,PARMCOS-B
9120,508867,NEWMKTADV,NEWMKTADV
9121,508956,HBLEAS,HBLEAS
9122,508989,NAVNETEDUL,NAVNETEDUL
9123,509015,THAKRAL,THAKRAL
9124,509040,NETLINK,NETLINK
9125,500069,QUESTCAP,QUESTCAP
9126,500109,MRPL,MRPL
9127,500160,GTL,GTL
9128,500164,GODREJIND,GODREJIND
9129,509053,BANASFN,BANASFN
9130,509152,GRPLTD,GRPLTD
9131,509196,MMRUBBR-B,MMRUBBR-B
9132,509480,BERGEPAINT,BERGEPAINT
9133,500250,LGBBROSLTD,LGBBROSLTD
9134,500185,HCC,HCC
9135,500215,SUNDROP,SUNDROP
9136,500240,KINETICENG,KINETICENG
9137,509496,CEMPRO,CEMPRO
9138,509635,HINDCOMPOS,HINDCOMPOS
9139,509930,SUPREMEIND,SUPREMEIND
9140,509953,TRADWIN,TRADWIN
9141,500267,MAJESAUT,MAJESAUT
9142,500282,MODTHREAD,MODTHREAD
9143,500322,PANCM,PANCM
9144,500333,PIXTRANS,PIXTRANS
9145,511194,ICDSLTD,ICDSLTD
9146,511355,INDCEMCAP,INDCEMCAP
9147,511507,USHAKIRA,USHAKIRA
9148,511509,VIVOBIOT,VIVOBIOT
9149,500343,AMJLAND,AMJLAND
9150,500368,PATANJALI,PATANJALI
9151,500378,JINDALSAW,JINDALSAW
9152,500405,SPLPETRO,SPLPETRO
9153,511557,PROFINC,PROFINC
9154,511611,DCMFINSERV,DCMFINSERV
9155,511630,SAMBHAAV,SAMBHAAV
9156,511664,BGIL,BGIL
9157,500470,TATASTEEL,TATASTEEL
9158,500488,ABBOTINDIA,ABBOTINDIA
9159,500540,PREMIER,PREMIER
9160,500680,PFIZER,PFIZER
9161,511730,AVASARA,AVASARA
9162,511742,UGROCAP,UGROCAP
9163,512026,VEGA,VEGA
9164,512070,UPL,UPL
9165,500770,TATACHEM,TATACHEM
9166,500875,ITC,ITC
9167,500940,FINPIPE,FINPIPE
9168,501295,IITL,IITL
9169,512093,CRANESSOFT,CRANESSOFT
9170,512097,SAICOM,SAICOM
9171,512147,KAJALSY,KAJALSY
9172,512157,TERRAREAL,TERRAREAL
9173,501298,INDPRUD,INDPRUD
9174,501386,EENTER,EENTER
9175,501423,SHAILY,SHAILY
9176,501425,BBTC,BBTC
9177,512161,SECURKLOUD,SECURKLOUD
9178,512245,ZNIVITRD,ZNIVITRD
9179,512271,TASHIND,TASHIND
9180,512301,CHMBBRW,CHMBBRW
9181,501622,AMALGAM,AMALGAM
9182,502168,NCLIND,NCLIND
9183,502175,SAURASHCEM,SAURASHCEM
9184,502589,VAPIENTER,VAPIENTER
9185,512393,SHARDUL,SHARDUL
9186,512511,VARUNME,VARUNME
9187,512600,ASTALLTD,ASTALLTD
9188,512618,RLF,RLF
9189,502865,FORBESCO,FORBESCO
9190,503092,PASUSPG,PASUSPG
9191,503162,RELCHEMQ,RELCHEMQ
9192,503349,VICTMILL,VICTMILL
9193,513097,SBCL,SBCL
9194,513149,ACROW,ACROW
9195,513349,AJMERA,AJMERA
9196,513472,SIMPLEXCAS,SIMPLEXCAS
9197,503671,UNIJOLL,UNIJOLL
9198,503811,SIYSIL,SIYSIL
9199,503816,SWADPOL,SWADPOL
9200,504000,ELPROINTL,ELPROINTL
9201,513575,STERPOW,STERPOW
9202,513502,BAROEXT,BAROEXT
9203,513513,ADITYA,ADITYA
9204,513554,MAHASTEEL,MAHASTEEL
9205,504080,JSLINDL,JSLINDL
9206,504132,PERMAGN,PERMAGN
9207,504365,RIDHISYN,RIDHISYN
9208,504369,GRANDMA,GRANDMA
9209,513729,AROGRANITE,AROGRANITE
9210,514128,KONARKSY,KONARKSY
9211,514197,STCORP,STCORP
9212,514286,ASHIMASYN,ASHIMASYN
9213,504882,NATIONSTD,NATIONSTD
9214,504998,WMINIMT,WMINIMT
9215,505160,TALBROAUTO,TALBROAUTO
9216,505343,MONOT,MONOT
9217,514418,MANORG,MANORG
9218,514448,JYOTIRES,JYOTIRES
9219,514450,MHLXMIRU,MHLXMIRU
9220,514454,SOUTLAT,SOUTLAT
9221,505502,PSITINFRA,PSITINFRA
9222,505509,RESPONIND,RESPONIND
9223,505537,ZEEL,ZEEL
9224,505533,WESTLIFE,WESTLIFE
9225,516022,STARPAPER,STARPAPER
9226,517015,VINDHYATEL,VINDHYATEL
9227,515055,ANANTRAJ,ANANTRAJ
9228,516110,FAMILYCARE,FAMILYCARE
9229,505681,BIMETAL,BIMETAL
9230,505693,LATIMMETAL,LATIMMETAL
9231,505790,SCHAEFFLER,SCHAEFFLER
9232,505827,SNL,SNL
9233,517174,HONAUT,HONAUT
9234,517288,GUJARATPOLY,GUJARATPOLY
9235,517320,MAGNUS,MAGNUS
9236,517370,INCAP,INCAP
